type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,PASSIVE,BE:E0:73:09:DF:FC,-91,31,0,0,0,0,0,0,0,0,0,-96,0,8,0,757178,0,2523,65,0,1.06995,128,[-37 -71 -99 65 7 4 8 -3 -2 -1 5 -6 -1 -3 -3 4 0 4 1 -8 1 -5 -2 2 0 -4 -5 6 -1 0 -4 -3 -7 -4 3 -6 -6 1 -5 -1 -1 -1 -2 4 2 1 -6 4 1 -1 -2 -4 1 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -2 0 -3 3 -8 -6 0 -1 7 -8 2 6 0 0 -5 1 -3 1 0 -5 -5 -4 -1 0 6 -6 -3 -5 -8 9 -42 36 -11 7 3 -4 -2 -10 -8 0 -2 3 -5 -3 2 -6 -5 -3 0 4 -3 -1 ]
CSI_DATA,PASSIVE,4A:4C:96:87:02:7C,-88,28,0,0,0,0,0,0,0,0,0,-96,0,8,0,787143,0,3026,65,0,1.10728,128,[-46 43 -67 65 0 -5 -4 -2 -3 -5 3 1 -7 -9 20 -11 71 -20 -20 -5 5 -6 6 -3 2 0 -1 0 -4 -2 2 -1 3 -6 -3 0 -1 -4 -2 3 -2 -4 1 1 1 -1 -2 -1 1 -4 0 3 3 -2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 -3 -4 -1 4 -2 1 -6 -3 8 3 3 -2 7 -2 0 7 2 0 0 1 -4 -4 -5 -1 5 -3 0 -4 -2 1 0 6 -1 -7 8 4 2 0 -3 0 0 6 3 0 -4 3 -1 4 -3 -3 7 ]
CSI_DATA,PASSIVE,3E:5C:61:CD:95:DC,-89,13,0,0,0,0,0,0,0,0,0,-96,0,8,0,794703,0,1071,65,0,1.14396,128,[47 -12 66 65 3 -1 4 -5 -5 4 -1 -8 -5 -5 -4 3 0 2 -7 -1 -1 -2 3 2 1 -1 -2 6 -3 2 -3 4 1 3 -1 -4 1 4 6 -7 3 -1 1 3 3 -2 1 -4 -3 1 -3 -2 -3 -4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -6 3 -6 1 -1 -2 8 2 -3 -7 5 0 0 0 0 -1 -3 -3 -2 1 -1 1 1 -17 -4 -2 -2 -6 -3 -1 -4 10 -1 7 6 1 2 7 3 -3 12 3 8 39 62 -2 -4 2 -7 -3 -2 ]
CSI_DATA,PASSIVE,9C:73:44:9F:80:3C,-93,25,0,0,0,0,0,0,0,0,0,-96,0,8,0,809496,0,3057,65,0,1.18077,128,[-15 27 -65 65 4 -6 7 0 2 2 -2 8 4 -1 1 6 -1 3 -3 2 5 -5 -1 2 -1 2 -2 4 5 2 3 0 -1 -5 -1 -4 -1 -3 -1 -1 -1 5 0 0 3 1 2 -1 -5 -3 -8 3 1 -4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 4 -5 -1 16 28 6 -5 -2 -4 7 3 -4 9 0 4 -1 -4 -3 -6 2 5 -4 -7 -3 -6 0 1 3 2 4 0 3 6 1 0 -3 2 -5 -1 -3 -5 1 -2 3 -1 0 0 9 -8 -1 10 ]
CSI_DATA,PASSIVE,85:E1:DE:D7:A5:7E,-88,30,0,0,0,0,0,0,0,0,0,-96,0,8,0,997269,0,1856,65,0,1.29627,128,[64 7 116 65 5 5 3 -6 13 -49 4 0 -2 -4 3 -6 -7 1 -7 3 -2 5 7 -6 7 2 1 -5 -4 -4 -3 -2 -4 3 2 -1 0 0 -8 -2 -4 4 0 -1 -3 -2 0 1 -5 0 6 2 -1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 -2 -1 -10 -9 -2 1 -7 2 -3 -5 3 -5 -1 -3 -3 -2 -1 -2 -1 -3 -5 -3 0 -5 -3 2 -2 1 -9 0 -1 0 -4 -6 0 -3 9 -6 1 1 3 -2 -1 4 0 1 5 -1 2 ]
CSI_DATA,PASSIVE,33:B9:28:BB:B5:AD,-90,29,0,0,0,0,0,0,0,0,0,-96,0,8,0,1033546,0,380,65,0,1.33182,128,[124 -63 23 65 6 1 0 5 4 -3 -2 0 -4 -3 1 -1 -1 3 -1 -4 -8 -1 -7 -3 -6 0 1 -7 -3 0 -1 3 -8 1 1 -1 -2 0 0 7 0 5 2 -2 0 0 4 0 -3 -5 2 -2 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -4 0 0 2 2 2 3 -8 9 -7 -6 -2 2 -1 -5 0 4 -3 7 0 -1 4 -1 0 0 -1 -6 -1 -4 3 -4 -5 -6 -5 0 4 -3 4 -1 -1 0 -1 22 13 16 -3 -24 -30 -2 0 0 3 ]
CSI_DATA,PASSIVE,DF:C5:92:3B:97:A5,-88,27,0,0,0,0,0,0,0,0,0,-96,0,8,0,1063416,0,2766,65,0,1.36529,128,[-50 -22 -84 65 -1 -9 3 -6 5 -4 9 -6 0 -2 -7 1 -1 -5 -10 2 -10 -2 -8 -6 6 -7 1 10 -9 4 -3 3 -3 -11 -4 -2 10 4 -3 4 -79 10 -1 10 7 0 7 -6 6 7 -4 -5 2 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -8 -3 3 -4 0 -1 -3 2 1 -2 -6 3 -5 -5 -6 4 -3 -7 1 10 -8 -5 -7 7 3 -3 -6 4 -2 2 -3 3 3 -5 0 2 1 -4 -4 4 -11 3 -9 1 -3 3 -8 -4 4 -2 1 -7 ]
CSI_DATA,PASSIVE,3D:54:42:9C:9A:78,-90,8,0,0,0,0,0,0,0,0,0,-96,0,8,0,1071209,0,134,65,0,1.39791,128,[-122 96 8 65 -1 0 -5 -6 0 0 -1 -2 7 7 -10 -2 -11 -5 -4 1 7 -1 0 -2 -2 0 -3 -3 5 -2 -8 -1 -2 -12 0 5 4 3 1 -1 -9 -1 5 2 2 -5 -4 -2 1 4 2 -2 5 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 -1 4 1 3 -5 -7 -7 5 1 1 8 -4 2 6 3 3 28 11 10 -29 -3 -10 5 1 4 2 3 3 4 2 -2 -3 1 -4 -3 2 -3 -2 -2 1 1 -2 2 2 2 -5 12 -5 5 3 ]
CSI_DATA,PASSIVE,B5:FF:9D:E3:02:79,-91,26,0,0,0,0,0,0,0,0,0,-96,0,8,0,1085904,0,313,65,0,1.43428,128,[57 -111 19 65 5 -4 -3 2 3 4 0 4 2 -2 -7 2 1 -6 4 -2 -5 3 -1 3 3 2 -1 4 3 5 -2 0 2 -5 4 2 11 1 -6 2 -3 4 -3 -4 5 4 5 3 -5 3 -6 -9 -11 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -8 0 2 2 33 34 -4 1 -1 6 -3 0 -4 -5 1 0 -5 -4 -1 0 -7 9 -10 10 -5 9 4 -6 -5 -4 -6 5 -4 8 4 2 10 1 -2 6 -3 -4 -7 5 1 -10 -5 1 4 2 -2 -1 ]
CSI_DATA,PASSIVE,93:88:46:12:13:D0,-87,14,0,0,0,0,0,0,0,0,0,-96,0,8,0,1087249,0,1419,65,0,1.47063,128,[-117 -75 88 65 -2 10 -8 0 -4 0 -5 0 7 6 -8 -23 -72 -55 8 -12 -5 8 5 8 0 1 4 5 0 3 -5 -6 -3 -3 3 2 1 6 -2 0 -3 -1 -6 -2 -2 4 1 -4 -4 -5 0 2 6 -2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 -4 0 -4 4 1 2 3 -1 5 -6 1 1 5 7 1 -12 -1 -4 -3 0 -2 5 -6 7 -2 -6 1 4 -1 -5 4 5 1 5 0 -1 5 3 6 13 -4 -4 -1 -6 -2 -3 7 -10 -1 -3 ]
CSI_DATA,PASSIVE,CC:9B:F4:85:95:A1,-88,29,0,0,0,0,0,0,0,0,0,-96,0,8,0,1093486,0,2010,65,0,1.5076,128,[-38 -89 125 65 -9 2 2 -6 3 1 -3 -3 -2 4 -4 -1 1 -6 2 -3 -4 11 -5 0 2 -1 7 0 -2 -4 -3 1 5 10 -3 -4 2 3 2 0 6 2 -4 2 1 2 1 4 -4 0 -3 0 0 -2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 -3 0 -4 7 -2 7 -7 2 1 -5 2 0 -1 0 -3 1 -3 -7 -3 -8 -1 -3 -3 0 5 0 -1 -1 0 -2 3 -3 -7 0 -3 6 6 -3 -13 -3 -3 0 1 -2 -4 4 -5 -7 -39 -55 ]
CSI_DATA,PASSIVE,67:A1:19:8E:E7:87,-90,25,0,0,0,0,0,0,0,0,0,-96,0,8,0,1094675,0,3893,65,0,1.54449,128,[53 95 -13 65 -2 2 -4 -4 3 6 1 4 6 -1 6 0 2 1 -6 6 -5 -3 -1 0 -2 1 5 1 -6 -2 -3 -2 -4 1 -5 -4 -1 -4 -2 0 -4 0 -3 3 -3 -9 -7 6 -2 2 4 4 -5 -3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 7 2 -3 0 -6 3 0 -1 -4 -1 6 -6 5 -2 1 3 2 -5 2 0 -1 -6 -3 -4 -2 5 0 -5 -2 -2 -4 -1 -1 -4 1 -5 4 0 1 3 1 -3 6 -9 2 -6 -8 -2 -21 -13 -22 ]
CSI_DATA,PASSIVE,1D:96:38:E9:54:DD,-90,25,0,0,0,0,0,0,0,0,0,-96,0,8,0,1100954,0,2339,65,0,1.58149,128,[35 57 -110 65 3 -3 -4 1 11 -12 1 1 6 8 -19 -40 -9 -15 2 -3 -3 4 -3 7 7 3 1 -2 4 -1 2 4 -4 4 2 -1 0 1 2 -1 -5 -2 -2 1 5 -2 -2 -3 -2 9 0 -5 -7 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 -3 -7 -1 4 2 -6 5 -6 -1 -4 -2 -6 -4 -3 0 0 -13 5 -2 -3 2 2 5 5 2 -5 1 0 -2 1 -7 2 -2 3 4 -3 3 -1 -1 -3 3 0 0 -3 -1 -2 1 -7 1 1 -1 ]
CSI_DATA,PASSIVE,21:3E:12:C6:2E:BD,-92,31,0,0,0,0,0,0,0,0,0,-96,0,8,0,1108528,0,837,65,0,1.61835,128,[69 83 52 65 2 -2 7 -3 -4 -2 0 3 0 -1 -1 11 0 1 -4 -3 1 -3 -4 -4 -2 -5 6 2 -14 -30 12 6 6 7 14 17 9 -5 -9 6 -1 5 1 5 7 3 -3 0 2 -10 5 -1 5 -2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 4 -1 2 5 -2 1 0 -2 2 1 0 -1 -2 3 -3 -10 -6 -8 -7 -6 -6 -1 -2 1 5 -4 -7 -3 -5 -5 -3 -6 5 1 -3 -5 2 -1 3 5 -4 1 -1 -1 4 -1 -2 -4 4 ]
